Deck Type,Conc Type,Total,Topping,Deck Gage,1Span,2Span,3Span,Concrete + Deck (psf),4ft,5ft,6ft,7ft,8ft,9ft,10ft,11ft,12ft,13ft,14ft,15ft,16ft,Design,Deck Weight (psf)
3,NW,5,2,16,13.33,16.67,15.67,45.8,760,760,760,760,760,582,424,319,245,193,154,125,103,3VL16 GA w/ 2in NWC,3.5
3,NW,6.5,3.5,22,8.83,8.58,9.75,62.1,509,509,509,509,509,389,303,240,191,154,124,100,80,3VL22 GA w/ 3.5in NWC,1.7
3,NW,6.5,3.5,20,10.42,11.08,11.42,62.5,618,618,618,618,618,475,373,297,240,195,159,131,107,3VL20 GA w/ 3.5in NWC,2.1
3,NW,6.5,3.5,19,11.33,12.33,12.75,62.8,719,719,719,719,719,555,437,350,284,233,192,159,132,3VL19 GA w/ 3.5in NWC,2.4
3,NW,6.5,3.5,18,11.67,13.5,13.67,63.1,811,811,811,811,811,627,496,399,325,268,222,185,155,3VL18 GA w/ 3.5in NWC,2.7
3,NW,6.5,3.5,16,12.33,15.17,14.5,63.9,1007,1007,1007,1007,1007,782,622,502,412,341,286,240,204,3VL16 GA w/ 3.5in NWC,3.5
3,NW,7.5,4.5,22,8.25,7.5,8.5,74.2,595,595,595,595,595,455,354,280,223,179,144,116,93,3VL22 GA w/ 4.5in NWC,1.7
3,NW,7.5,4.5,20,9.67,10.33,10.67,74.6,725,725,725,725,725,557,437,348,281,228,186,153,125,3VL20 GA w/ 4.5in NWC,2.1
3,NW,7.5,4.5,19,10.75,11.58,11.92,74.9,845,845,845,845,845,651,513,411,333,273,225,186,155,3VL19 GA w/ 4.5in NWC,2.4
3,NW,7.5,4.5,18,11.17,12.58,13,75.2,954,954,954,954,954,738,584,469,382,314,261,217,182,3VL18 GA w/ 4.5in NWC,2.7
3,NW,7.5,4.5,16,11.83,14.25,13.92,76,1189,1189,1189,1189,1189,923,733,593,486,403,337,283,240,3VL16 GA w/ 4.5in NWC,3.5
3,LW,5,2,22,11.08,11.83,12.25,33.8,381,381,381,381,381,294,232,186,145,114,91,74,61,3VL22 GA w/ 2in LWC,1.7
3,LW,5,2,20,12.58,13.67,14.17,34.2,458,458,458,458,458,355,270,203,156,123,98,80,66,3VL20 GA w/ 2in LWC,2.1
